timestamp,image_filename,city,panel_power_w,ambient_temp_c,irradiance_w_m2,emission_factor,num_defects,dominant_defect,total_degradation_pct,co2_kg_per_year
2026-02-19T23:52:17.786428,fb83acf6c6024c4099b8b801b329e830.jpg,Delhi,380.0,25.0,900.0,0.85,2,crack,1.42,9.55
2026-02-19T23:53:06.806821,dd203d7faf224a60812a6c2748291bb0.jpg,Delhi,380.0,25.0,900.0,0.85,2,crack,0.8,6.07
2026-02-20T12:28:08.737413,f1a95e02b29c4569acda3723704b1c06.jpg,Chennai,380.0,31.0,900.0,0.82,6,finger,0.45,7.48
2026-02-20T13:03:45.951848,fc0c05d5129b43449bcd5b63216d6b17.jpg,Chennai,380.0,32.0,900.0,0.82,1,finger,0.14,0.89
2026-02-20T13:29:28.542298,cb44158798cb4378ae7ddcaad1218250.jpg,Chennai,380.0,32.0,900.0,0.82,1,crack,0.87,4.55
2026-02-20T14:39:18.708734,f4a6c5d070cd4d11a0bd5b9019d0e005.jpg,Chennai,380.0,30.0,900.0,0.82,1,finger,0.14,0.9
2026-02-20T14:48:38.377801,ecbb22bbb95e4e8bacb99046315a110d.jpg,Chennai,380.0,32.0,900.0,0.82,1,black_core,37.43,204.64
2026-02-20T15:07:02.130804,20d6525fdf7a4d1085cb1397de6fc188.jpg,Chennai,380.0,30.0,900.0,0.82,1,black_core,38.28,204.73
<<<<<<< HEAD
2026-02-20T16:52:45.206256,fa9a250a5d364e308d92301afa276be8.jpg,Chennai,380.0,32.0,900.0,0.82,2,finger,0.34,3.38
2026-02-20T18:46:18.197115,3db7070a788c4c9e9728de40a2ec2c3e.jpg,Chennai,380.0,27.0,900.0,0.82,1,black_core,32.33,170.6
=======
2026-02-20T16:10:48.169351,d776dc1e2458451c923ddbcbd71d717c.jpg,Chennai,380.0,30.0,900.0,0.82,1,crack,12.76,69.12
2026-02-20T16:11:03.203225,d776dc1e2458451c923ddbcbd71d717c.jpg,Chennai,380.0,30.0,900.0,0.82,1,crack,12.76,69.12
2026-02-20T16:11:17.588066,d776dc1e2458451c923ddbcbd71d717c.jpg,Chennai,380.0,30.0,900.0,0.82,1,crack,12.76,69.12
2026-02-20T16:26:29.566060,489ae0552c3e458698b4a3a6b213b166.jpg,Chennai,380.0,29.0,900.0,0.82,1,crack,12.76,69.1
2026-02-20T16:29:36.831282,bbdfd5c6f2b541a8ae665b7a4da10056.jpg,Mumbai,380.0,31.0,900.0,0.78,1,black_core,37.64,196.01
2026-02-20T16:31:28.365827,unknown,Mumbai,380.0,31.0,900.0,0.78,0,black_core,0.0,0.86
2026-02-20T16:32:42.405905,d7d073f015504945b743bf22218d1a43.jpg,Mumbai,380.0,31.0,900.0,0.78,2,finger,0.34,2.87
2026-02-20T16:35:39.052999,b66d8ff882b543a88efab271f23daeaf.jpg,"Thalavapalayam, Karur",380.0,34.0,900.0,0.8,3,finger,7.9,43.31
2026-02-20T16:38:32.426088,e3629abe48fc4bfeb449c7fee882a1ff.jpg,"Thalavapalayam, Karur",380.0,34.0,900.0,0.8,1,black_core,39.27,200.86
2026-02-20T16:48:47.831969,e8c0b12fdf2b4a16bd028f8036d8ae8c.jpg,"Thalavapalayam, Karur",380.0,33.0,900.0,0.8,1,black_core,39.27,200.83
2026-02-20T16:49:49.442941,afa768841e8b450c8e75d2348d48eafb.jpg,"Thalavapalayam, Karur",380.0,33.0,900.0,0.8,1,crack,12.76,68.12
2026-02-20T17:08:45.494390,e64fc47c9c114afca19783b48eaf9fd9.jpg,"Thalavapalayam, Karur",380.0,33.0,900.0,0.8,2,finger,0.34,3.33
2026-02-20T17:10:31.662859,6a1a647c3d904c03ab0df1ce926f01b2.jpg,"Thalavapalayam, Karur",380.0,33.0,900.0,0.8,3,crack,7.9,43.31
2026-02-20T17:20:43.402220,7f8ce02c0c3c458f9d4ffa3887041a36.jpg,"Thalavapalayam, Karur",380.0,33.0,900.0,0.8,1,black_core,37.64,200.83
2026-02-20T17:22:29.708047,f0dfcecb0b4d4cd3b897c79b50c19622.jpg,"Thalavapalayam, Karur",380.0,33.0,900.0,0.8,1,crack,0.9,5.35
2026-02-20T18:04:57.334796,a671857c6760492dbd0674ef1746140e.jpg,"Thalavapalayam, Karur",380.0,32.0,900.0,0.8,1,black_core,39.82,200.77
2026-02-20T18:06:35.371468,a81aaf65edbb4cea929811b42b7d34e0.jpg,"Thalavapalayam, Karur",380.0,32.0,900.0,0.8,5,finger,0.7,6.6
2026-02-20T18:10:04.070486,unknown,"Thalavapalayam, Karur",380.0,32.0,900.0,0.8,0,black_core,0.0,0.99
2026-02-20T18:12:28.066943,unknown,"Thalavapalayam, Karur",380.0,32.0,900.0,0.8,0,black_core,0.0,0.99
2026-02-20T18:13:04.915114,unknown,"Thalavapalayam, Karur",380.0,32.0,900.0,0.8,0,black_core,0.0,0.99
2026-02-20T18:50:05.829353,unknown,"Thalavapalayam, Karur",380.0,31.0,900.0,0.8,0,black_core,0.0,1.0
2026-02-20T18:56:50.865377,59cbb8a88822463dbbba1d8fd2b025db.jpg,"Thalavapalayam, Karur",380.0,31.0,900.0,0.8,5,finger,0.7,6.6
2026-02-20T19:18:38.842609,cea2b4f521264f61a3547a726e0e3bea.jpg,"Thalavapalayam, Karur",380.0,30.0,900.0,0.8,1,finger,0.19,1.62
2026-02-20T19:22:50.583742,5952fedc7f65417c95407d6b6e4ffff2.jpg,"Thalavapalayam, Karur",380.0,30.0,900.0,0.8,1,black_core,40.0,200.87
>>>>>>> b8e1f25a9a02e13627427250828d5a59436dcdd4
